user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
1639,SWE,0,73,179,21,STUDENT,0,51,800,3
1644,NZL,0,73,185,23,FINE WINE CONSULTANT,1,334,1050,4
1645,NZL,0,73,177,40,SOFTWARE ENGINEER,0,32,900,3
1649,PRT,0,63,169,21,ACAD DESIGNER,0,12,650,2
1652,USA,0,68,177,19,STUDENT,0,4,300,1
1654,SWE,0,73,183,19,SYSTEM DESIGNER,0,46,550,2
1658,HKG,0,53,165,20,COMPUTER CLERK,0,65,950,3
1668,WSM,0,68,178,21,STUDENTE,0,21,550,2
1671,RUS,0,58,168,28,"HIGH WORKS,OPENING NEW ROUTES",1,547,1150,4
1675,NZL,0,63,180,20,TRAINEE BEAN COUNTER,0,17,700,2
1680,NLD,0,63,180,23,STUDENT,1,53,1100,4
1688,RUS,0,68,175,25,"CLIMBING TRAINER, INSTRUCTOR",1,294,1150,4
1690,ESP,0,63,173,28,SPORT SHOP,1,65,1200,4
1691,AUT,0,73,182,35,TEACHER + TRAINER,1,320,1200,4
1698,ITA,0,68,175,20,RESEARCHER,0,75,700,2
1700,HRV,0,68,180,19,MEDICAL,0,19,700,2
1707,NLD,0,73,194,19,SECURITY ENGINEER,0,54,800,3
1720,CHE,0,73,180,20,TELECOM,0,80,1000,4
1721,DEU,0,68,184,21,STUDENT OF PSYCHOLOGY,1,95,1400,4
1722,AUS,1,63,167,20,SCIENTIST,0,156,850,3
1724,NZL,0,53,155,21,ELECTRICIAN,0,69,1000,4
1730,CZE,0,73,183,34,RESEACHER,0,60,900,3
1731,CAN,0,63,178,21,UNEMPLOYABLE,0,37,850,3
1746,GBR,0,73,170,27,STUDENT,0,95,1000,4
1747,CAN,1,58,5,31,TEKNIK HANDHOLDS,1,9,850,3
1775,MYS,0,68,176,23,ROPE ACCESS SPECIALIST,0,29,900,3
1777,USA,0,73,180,35,GRAFUCK DESIGNER,1,292,1200,4
1784,ROM,0,78,180,35,TRAINER,0,474,1150,4
1790,USA,0,73,170,25,STUDENT,0,45,750,2
1796,FRA,0,63,178,24,CLIMBING GUIDE,0,39,1100,4
1802,SWE,0,58,170,31,BUM,1,37,1100,4
1809,FRA,0,68,182,27,STUDENT,0,83,1000,4
1813,USA,0,78,178,26,DAD,1,189,1000,4
1817,SGP,0,58,169,23,COLLEGE PROFESSOR,1,412,1150,4
1823,SWE,0,98,191,26,STUDENT,1,181,800,3
1827,CAN,0,83,187,26,CLIMBING GYM OWNER,1,265,1100,4
1830,IRL,0,83,190,21,CLIMBING WALL OWNER,0,459,1050,4
1834,ITA,0,68,176,20,"DO YOU THINK THAT CLIMBING 5 DAYS A WEEK IS NOT A WORK, WEEL TRY!!!",1,24,900,3
1836,CAN,0,78,181,21,CLIMBER (AS OF 2007),1,478,1200,4
1838,USA,0,63,68,25,CAD DESIGNER,0,71,900,3
1843,ESP,0,73,180,28,CLIMBING TEACHER,1,115,1050,4
1844,USA,0,68,178,27,RN,0,515,1050,4
1848,DNK,0,68,180,22,SUPERVISOR,0,5,600,2
1855,SWE,0,63,177,22,STUDENT,0,132,700,2
1856,SWE,0,68,170,24,STUDENT,0,26,550,2
1860,DEU,0,68,173,20,STUDENT,1,298,1150,4
1861,DNK,0,68,180,31,STUDENT,0,169,1000,4
1862,SWE,0,88,184,20,PROGRAMMER,0,286,850,3
1863,SWE,0,63,173,19,STUDENT,0,2,400,1
1864,ESP,0,73,179,19,STUDENT,1,140,700,2
1866,SWE,0,63,167,24,?????????????????,1,363,1050,4
1867,AUS,0,68,176,20,PDHPE/BEHAVIOUR TEACHER,1,378,1150,4
1875,SWE,0,73,179,19,OFFICE SLAVE,1,1029,1100,4
1878,NLD,0,73,180,27,SOFTWARE ARCHITECT,0,190,1200,4
1879,ESP,0,78,184,20,PHARMACEUTICAL OPERATOR,0,10,550,2
1900,SWE,0,73,175,19,STUDENT,0,158,900,3
1911,ITA,0,68,180,40,ODONTOTECNICO,0,9,750,2
1919,SVN,1,58,164,26,LANDSCAPE ARCHITECT,0,157,1000,4
1920,SWE,0,93,180,19,IT STUFF,0,67,700,2
1921,NLD,0,83,180,31,INFORMATION ANALIST,1,74,700,2
1926,SWE,0,83,189,20,STUDENT,0,265,750,2
1927,ARG,0,83,182,21,STUDENT,0,46,600,2
1931,SWE,0,63,181,19,STöRD,1,23,600,2
1934,AUT,0,68,172,30,TRAUMATOLOGIST,1,533,1100,4
1935,ESP,0,63,171,22,FERRATA,1,30,850,3
1944,GBR,0,68,178,23,STUDENT,0,39,900,3
1946,BRA,0,73,183,23,CLIMBER,1,320,950,3
1949,SWE,0,68,180,22,?,1,507,1200,4
1954,FIN,0,78,188,20,STUDENT,0,21,600,2
1967,SWE,0,83,183,27,..................,1,69,800,3
1978,CAN,0,68,175,21,LAB TECH,0,25,800,3
1979,SWE,0,83,180,19,POST-DOC,1,296,700,2
1981,ESP,0,63,173,24,ESTUDIANTE,1,19,850,3
1989,ITA,0,68,181,20,STUDENT,0,180,950,3
1994,AUS,0,73,175,28,COMMS ENGINEER,0,213,850,3
2003,USA,0,88,188,28,LEARNIN. TEACHIN,0,40,950,3
2013,SWE,0,78,181,19,STUDENT,0,137,800,3
2016,FRA,0,68,182,22,STUDENT,1,142,1100,4
2020,GBR,0,73,172,28,COMPUTER NERD,1,339,1100,4
2025,AUS,1,53,159,23,RADIOGRAPHER,0,43,950,3
2030,ITA,0,58,174,25,CLIMBING INSTRUCTOR AND ROUTESETTER,1,423,1050,4
2034,USA,0,78,172,25,PRA,1,1734,1150,4
2038,ESP,0,63,172,18,INFORMATICO,0,154,850,3
2043,ESP,0,63,172,24,CLIMBING ADVISER,0,24,1100,4
2047,POL,0,88,184,30,FREE BUM,1,387,1000,4
2048,SWE,0,78,176,26,PHD STUDENT,0,413,750,2
2052,ITA,0,58,167,20,STUDY,0,134,850,3
2056,USA,0,63,70,20,STUDENT @ UNR,1,46,850,3
2059,ITA,1,53,172,20,TEACHER OF PHYSICAL EDUCATION,1,112,1000,4
2074,NLD,0,63,185,21,STUDENT,0,5,800,3
2078,BEL,1,53,162,18,STUDENT,0,68,550,2
2079,BEL,0,73,175,19,STUDENT,0,23,250,1
2082,USA,0,73,185,20,GRAD SCHOOL IN THE HIZZY,1,348,1050,4
2093,SWE,0,73,177,23,DOCTOR,0,53,950,3
2095,AUS,0,73,176,28,SALES,1,278,800,3
2101,DEU,0,73,180,23,STUDENT,0,148,950,3
2104,CAN,0,68,5,21,STUDENT,0,28,1050,4
2111,ESP,1,58,158,20,CONSULTANT AND SCIENTIFIC PROPOSAL WRITER,0,868,950,3
2122,BRA,0,73,174,25,GEOLOGIST,1,693,1050,4
2130,DNK,0,73,183,24,CARPENTER - CONSTRUCTING ARCHITEKT,0,42,900,3
2132,AUT,0,68,174,19,MOUNTAIN GUIDE,1,916,1200,4
2136,NOR,0,83,189,33,ROPE ACCESS SUPERVISOR,1,349,1000,4
